Não Consolidado,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015,31/12/2015,31/03/2016,30/06/2016,30/09/2016,31/12/2016,31/03/2017,30/06/2017,30/09/2017,31/12/2017,31/03/2018,30/06/2018,30/09/2018,31/12/2018,31/03/2019,30/06/2019
EBIT / Divida Bruta %,181.6405097800,,,,114.1379008700,104.3262119100,84.8500168520,76.7428775400,71.7646056890,69.1605951480,84.4776218770,59.2810743740,64.4404345080,67.2717283580,63.7535770670,76.9299889610,101.2712143500,100.6367623300,125.8258131300,75.9808461770,107.0353484400,137.0744530900,130.7335248800,162.8696440100,184.9878581100,225.4547546700,416.5244998700,635.0585365900,172.6617819500,163.7855961700,137.7664419700,106.0929064400,169.9025153200,183.9435132400,338.8687318400,1130.5365003000,557.5246377700,1053.3442623000,744.9397612500,739.3020027800,808.5881492300,284.7577580500,552.1074226000,362.9055978000,314.9564324300,453.9047251400,287.0181045800,288.9441778700,221.0409726600,148.3711221100,310.9152453700,368.7230463400,332.8161418200,220.7648919300,352.4628538200,406.7891853400,377.5591092600,234.8745111100,335.9229465100,473.2573842200,298.6712614500,155.7576063900,259.6331024600
EBIT / Divida Liquida %,-348.2288117200,,,,-108.7258558500,-55.1070171530,-49.2589150320,-44.4841118150,-41.0418344290,-28.8120889040,-34.3896522750,-41.1244528490,-51.0296611730,-35.5952491790,-31.1284920090,-35.5319716600,-37.4439621140,-27.8607386980,-27.1930465600,-29.7463753010,-43.2875996390,-39.3208058440,-41.6971247890,-43.3437923300,-36.7353697020,-31.5667652120,-27.8964553020,-32.1997971850,-34.4976161170,-29.6765010190,-26.9669950550,-23.6492897790,-23.4946379890,-21.4064628470,-25.0408042930,-34.3640582160,-85.6560134980,-55.4406067460,-60.0260945760,-83.7006302350,-104.6836778800,-64.1566792320,-85.3087943600,-60.4733334960,-74.2624645890,-54.5846133210,-45.4977206320,-88.0482330780,-92.1463717240,-52.1202600400,-44.6602808330,-31.6364600180,-33.1936309280,-30.2527109190,-31.3544040390,-30.6763973670,-32.5932727690,-33.3097112040,-35.2372177030,-33.7760260410,-32.6466619210,-22.2149794470,-17.7727805410
EBIT / Desp Fin Brut x,4.9725857214,,,,1.4587836734,1.3581009942,1.1163223017,1.1277104578,1.1975726224,1.1126909845,1.3028913209,1.4069724135,1.5115705678,1.5791643135,1.5920352407,1.3877718000,1.3118045631,1.2245479090,1.2362248323,1.0058547650,1.1883503231,1.3515477896,1.3949753474,1.5756327988,1.5130169705,1.4515372268,1.4437410091,1.7608780923,2.0925132664,2.6562705888,3.1554538193,3.3454205316,3.6330844320,3.2924969565,3.3495649192,4.7966823130,6.3883221501,8.3369158575,7.6175814285,6.0924459630,6.0120436992,5.0072098151,6.2405227840,6.2616840931,5.7401470698,3.8460657719,2.9217613771,2.1599161599,1.8335694548,1.8237268299,1.9703209360,2.8993963299,3.3373594691,4.7200482384,6.1362775843,5.8148744150,6.4857297688,6.0554844757,3.7904851128,2.7562905448,2.5913807679,1.9784427870,2.1944289117
EBIT / Desp Fin Liq x,-33.8390869380,,,,-2.5968193715,-2.8059141883,-2.7551879446,-5.6494009709,27.7434152770,8.0272809746,5.4759764080,5.4916159567,7.1628120265,9.8367550538,14.3301025310,66.1235748450,-25.9974637170,-48.3120665740,-39.7708750830,31.6615206480,14.0899952410,15.2754101910,11.0541663700,6.8412902103,4.6810111813,7.0802216334,7.6914709518,11.2560089910,8.4605066636,4.2675919852,2.8764101115,1.6867522913,1.2179040070,1.3110345707,1.5334890202,1.9835532953,2.6242847539,3.1123274401,3.6144421806,3.6388181536,3.3665080014,3.1690023885,2.6861852552,2.5503034479,2.6693240303,2.7446387695,2.3483343205,2.6190220504,1.9792910608,1.5512524888,1.6248616636,1.3152780303,1.4103084459,1.5109099568,1.5474367431,1.6322588902,1.9684509727,2.2547864437,2.7697560302,3.1483893193,2.8705229485,2.3438726158,1.6749340036
Divida Bruta / Ebitda x,0.3890518746,,,,0.7562527982,,,,1.1493660313,1.1847797328,1.0015892685,1.4417779929,1.3483411291,1.3111361165,1.3890816746,1.1621324608,0.8919809450,0.8923993193,0.7159335062,1.1754049817,0.8630935667,0.6822526265,0.7194045457,0.5774733802,0.4985517907,0.4053648544,0.2161578913,0.1431749213,0.5292531822,0.5561361026,0.6559893192,0.8329819128,0.5107689449,0.4767253847,0.2623586834,0.0800445627,0.1649278655,0.0877864152,0.1243013704,0.1249239957,0.1132712900,0.3187322697,0.1625776327,0.2451589313,0.2839049631,0.1977821991,0.3117696907,0.3105624216,0.4004898586,0.5910028810,0.2829251592,0.2364593654,0.2638770109,0.3999182033,0.2503054279,0.2169959388,0.2353199824,0.3785676022,0.2642832514,0.1864941479,0.2942544881,0.5478290969,0.3208772546
Divida liq / Ebitda x,-0.2029343307,,,,-0.7938967805,,,,-2.0097493491,-2.8439476121,-2.4603877593,-2.0783291328,-1.7026898910,-2.4779259789,-2.8449475023,-2.5161237388,-2.4124582009,-3.2234672304,-3.3127187629,-3.0023242902,-2.1341335954,-2.3783695079,-2.2555582082,-2.1699274290,-2.5105512390,-2.8951789386,-3.2274730454,-2.8237586560,-2.6489307907,-3.0693336473,-3.3512563895,-3.7368340856,-3.6936482501,-4.0964517464,-3.5504112924,-2.6333705747,-1.0734955400,-1.6678987146,-1.5426129888,-1.1034153504,-0.8749198022,-1.4146849186,-1.0521812954,-1.4712195172,-1.2040765793,-1.6446809684,-1.9667698610,-1.0191596178,-0.9606961861,-1.6824121860,-1.9696639532,-2.7559346877,-2.6457644505,-2.9183466956,-2.8137471639,-2.8775087280,-2.7259368391,-2.6693680992,-2.5194613622,-2.6130881259,-2.6920167016,-3.8410365875,-4.6875252258
Divida CP / Divida Tt %,11.1696857390,10.9117195530,11.0419626310,10.7291586730,13.2747589860,14.2530232190,15.0663711070,14.7004906610,14.3530346900,14.6754878150,15.0186137600,21.3020947380,39.0694954650,41.8246649720,45.4717808180,44.2423386650,31.0519902520,29.7845293330,22.4225260830,23.5213211320,49.7580328140,62.7078534840,70.8303928490,79.1911974110,74.4958809790,72.9084161980,61.9400986880,51.8121951220,91.3446658850,91.4197273030,92.0672513860,93.4211046730,88.0663114050,88.0207261310,81.9381604240,46.3816963400,77.1793122050,62.3852459020,71.0835640800,72.2261280260,66.9202633500,64.7945289780,28.4921671020,44.5070246250,41.4833350990,24.7238487440,47.0965054260,50.5729650030,59.8824199180,71.2694098110,44.2463983780,42.5793954220,53.5225165450,72.5197680550,58.8619573340,55.8810837180,72.5294636290,84.4465517580,78.5333044950,70.9971874460,82.5969253300,89.7143627390,81.8813708830
Exigivel Tt / Ativo Tt %,24.1603706550,23.5592154470,22.9244357840,25.6058096930,29.6734525460,27.5374992660,23.0014060950,24.1622823080,26.3082605190,25.0945338010,21.7303531600,28.7903541930,30.8400331160,28.6545405540,25.6834339350,24.4608718200,23.2384279360,21.2380910950,19.8290233910,27.3540554170,22.3064151070,21.7811182780,21.3381450200,20.9155048240,18.8612644310,16.7302093110,11.7386856840,12.6176176420,15.8822773970,14.2848382550,15.3593605350,16.9467785110,11.7932747720,15.5507093770,10.1296269210,10.3758308430,11.1648440050,13.9772218810,10.5628054190,11.6177208850,9.8230316587,16.8185960230,9.7437300851,12.1019986320,11.2392790340,13.3200260490,11.3158503000,12.4292085730,12.6519791840,16.5690470010,9.7579023121,9.4297654686,9.6426118561,14.5338442700,8.8903686419,9.4280854495,9.9325559757,14.5262710280,9.7074372728,9.0741646856,10.0239154310,13.8090463890,7.6003650938
Exigivel Tt / Pat Liq %,31.8571845140,30.8202167010,29.7428063190,34.4190985710,42.1938138870,38.0024136440,29.8725014690,31.8605082590,35.7004200260,33.5016055230,27.7634485870,40.4304134170,44.5923190910,40.1630892510,34.5595003850,32.3817237630,30.2735174780,26.9649268160,24.7334187870,37.6539331600,28.7107553840,27.8463688030,27.1264198200,26.4470358920,23.2456967660,20.0915712320,13.2999216870,14.4395441070,18.8810121180,16.6654743040,18.1465554040,20.4047214630,13.3700403700,18.4142569610,11.2713751750,11.5770455010,12.5680468280,16.2482800330,11.8103049500,13.1448532460,10.8930604330,20.2191778670,10.7956268230,13.7682295890,12.6624467570,15.3669013060,12.7597212570,14.1933267590,14.4845630910,19.8595921600,10.8130269150,10.4115502370,10.6716363250,17.0053796690,9.7578801598,10.4095022130,11.0279092330,16.9950126230,10.7510928690,9.9797430006,11.1406441820,16.0214567900,8.2255358493
Exigivel Tt / Receita %,38.4512048510,,,,26.2391158320,25.2690319560,20.0250114440,23.9262072800,28.8121939470,28.9031747410,25.3118020220,38.4747773670,40.1292171210,36.9037043000,32.6024778710,31.0818757450,28.5452100640,26.2520973660,23.6477036450,35.7347652290,28.3363304280,27.5935867130,25.6736987420,24.9243628850,21.8904183310,18.8299866940,12.4765130600,13.7839774580,18.9957478160,18.1639423840,20.1531775960,24.5235481580,16.4560353930,21.5628198170,12.6158321860,12.7503494470,13.6427248530,16.4648302260,11.4933912700,12.8094919760,10.5496880120,19.3563698630,10.5131802650,14.1216312430,13.5547183270,16.5365905450,13.9614895860,15.9571808980,17.5034107420,25.0322907470,13.5587209530,14.0441895420,15.4838155460,24.5755758480,13.8880675110,14.8552264070,15.9865542370,24.3352944300,15.1976563840,14.4452888340,16.7411289290,25.1380968760,13.1966699100
Ativo Fixo / Pat Liq %,24.8497963120,24.0228368180,22.6865057840,22.0714314520,22.9011111430,22.1657694840,22.9964062350,21.5155358350,21.2323488950,19.6479038700,18.3969699110,17.2551516610,16.0297545420,15.0676942100,14.6253546470,13.9028635670,13.5944230750,12.8886184750,12.7369177730,12.7655265870,11.8670053580,11.1926616540,11.2287096090,11.2410033750,11.3265699690,12.0055031890,11.8643444360,11.2488854680,10.6992421870,10.2150636890,10.5565695110,10.4798774510,10.3063319630,10.2752412210,10.5262777890,10.3687289070,10.7337276650,11.0869773060,12.5280949220,13.7553757990,14.8602391180,15.7439044580,15.9825934300,15.7055386210,14.9397462350,14.8653548430,14.9420805640,14.7786789880,14.0404565040,13.8237742490,13.9919234440,13.4731854030,12.8726987490,12.8071331290,13.1998618540,13.0014163410,12.6475901820,12.6697316960,12.7958782240,12.4630242680,11.7896117850,11.8492221810,11.7268020200
Investimentos / Pat Lq %,7.2933598566,7.6455478967,8.0123759883,6.9010525184,6.3107603331,6.0576546997,5.3002306826,4.7435312566,4.9341576674,4.4758835968,4.2815407943,4.1546037598,4.0811973662,3.7910704984,3.3805125064,3.3018782930,3.3378752684,3.4207573875,3.3237775199,3.6500007789,4.2661892598,2.9916181750,2.6387725816,2.4540928300,2.5753241854,2.6431923361,2.4441461739,2.2498274325,1.8306286793,1.6286706969,1.5622490607,1.7910979672,1.6367658338,1.7378082257,2.0607363224,1.9668845167,2.5732815935,2.5081893273,2.8826594437,3.0429053386,3.0327058223,3.0483831615,2.9624290015,3.2416564571,3.7010003567,3.6534978397,3.0156427867,3.0841553186,2.5394335692,1.9940311022,1.7471571515,1.5305831738,1.5452098188,1.5216025050,1.5185610146,1.3765239409,1.4535327319,1.4295393792,1.5430395472,1.3664022850,1.3806759052,1.2818671622,1.2391221214
Liquidez Geral x,3.1300326713,3.2171036612,3.3300127595,3.0636076765,2.6776897370,2.8887372915,3.4003133168,3.3144933003,3.0681407497,3.2648530227,3.7850102646,2.9438397468,2.7733943925,3.0007733465,3.3511124724,3.5353028081,3.7209974040,4.0790371518,5.1750208526,4.0007788475,3.8953581576,4.0565169486,4.1482883736,4.2334760397,4.6689708211,5.2087335070,7.3836336940,6.9334968929,5.5903435598,6.2423776635,5.7976818327,5.2614596714,7.5286787186,5.7376456700,8.6690202958,8.4915846300,7.8210009374,6.2574810276,8.0647502840,7.2268850597,8.4070706576,4.9415299620,8.3653911519,6.7806299877,7.3154036898,6.2175745304,7.3325617385,6.7043831325,6.6783689150,5.1808625956,8.6907143898,9.0674217627,8.9301563377,5.9838204137,9.6486611664,9.1365809349,8.7118604422,6.0033405788,8.8835434571,9.5470195924,8.7197016797,6.3689359834,11.4782089480
Liquidez Corrente x,6.6653783564,7.1026835309,7.7521645726,6.1042255501,4.5520601336,5.1632611002,7.7334257894,6.8416968247,6.0440463783,6.6168548140,9.1668169607,6.4729735043,4.5163566797,4.8987041088,5.7044511949,5.4999061164,5.8839067723,6.6414732641,9.4872110351,7.5862749925,5.6052552822,5.1121218640,5.1093431746,4.7530055114,5.1937015062,5.8248932694,8.3853622711,7.6835470944,5.9168480318,6.5761221810,6.1037609825,5.4426057696,7.9291840453,5.9426031923,9.2429244159,8.9666848502,6.5039320214,5.6735670446,7.5349603319,6.4483657550,7.5561512483,4.6789634778,8.0196503102,6.8429573356,8.1296551537,6.6030862223,8.7568636248,6.4498956721,5.9223169075,4.3399550463,8.6425554358,9.6486194996,9.5206286990,5.8813830741,10.3548214540,9.8775559182,8.7820911909,5.4878867380,8.4192285388,9.0391732475,8.0670606551,5.7563018475,11.4864215030
Liquidez Seca x,5.2488763610,5.9829081607,6.4651932383,5.0595652649,3.8591368619,4.4768843764,6.6184149275,5.9957753517,5.4167860865,6.0590498278,8.2871461046,5.9046672171,4.0972827470,4.5227000527,5.2228747966,5.0012488701,5.3315366412,6.0663827826,8.4315081579,6.7830365690,5.0591049660,4.7246893471,4.6715570613,4.3483757058,4.7146711294,5.2445796852,7.3561758702,6.8359608469,5.4534984319,6.0994081491,5.5362338555,4.9805815525,7.3925970578,5.5434261333,8.4441925385,8.1527218758,5.8233735138,5.1806424768,6.5359372861,5.5987799571,6.6832259645,4.1766610652,6.7152622673,5.8653768477,7.2571095455,5.9013314183,7.5749302862,5.4944208814,5.1830600027,3.8663143468,7.5336797930,8.5781320104,8.5992823106,5.3474629391,9.1760463027,8.8332939500,7.9763663358,4.9759629420,7.4057396615,7.9955070711,7.3319974489,5.2697547580,10.3471032020
Capital de Giro $,584871000.0000000000,598777000.0000000000,622320000.0000000000,653739000.0000000000,650709000.0000000000,686834000.0000000000,694297000.0000000000,771583000.0000000000,774362000.0000000000,823459000.0000000000,869423000.0000000000,974348000.0000000000,939247000.0000000000,976563000.0000000000,1000458000.0000000000,1030510000.0000000000,1040194000.0000000000,1077087000.0000000000,1110594000.0000000000,1204004000.0000000000,1154100000.0000000000,1204239000.0000000000,1222620000.0000000000,1224358000.0000000000,1240434000.0000000000,1266906000.0000000000,1277099000.0000000000,1364259000.0000000000,1454915000.0000000000,1515919000.0000000000,1463284000.0000000000,1509051000.0000000000,1563314000.0000000000,1560365000.0000000000,1556124000.0000000000,1621069000.0000000000,1268893000.0000000000,1392737000.0000000000,1384647000.0000000000,1352219000.0000000000,1364735000.0000000000,1348605000.0000000000,1244584000.0000000000,1432103000.0000000000,1577700000.0000000000,1646310000.0000000000,1763585000.0000000000,1517518000.0000000000,1514528000.0000000000,1523103000.0000000000,1680896000.0000000000,2004750000.0000000000,2186879000.0000000000,2203881000.0000000000,2238562000.0000000000,2404415000.0000000000,2494954000.0000000000,2321328000.0000000000,2315608000.0000000000,2399444000.0000000000,2537520000.0000000000,2492364000.0000000000,2721520000.0000000000
Capital Employed $,824941000.0000000000,840414000.0000000000,863300000.0000000000,887287000.0000000000,888332000.0000000000,929321000.0000000000,941401000.0000000000,1022370000.0000000000,1028697000.0000000000,1072905000.0000000000,1115397000.0000000000,1247735000.0000000000,1258636000.0000000000,1305529000.0000000000,1338701000.0000000000,1343753000.0000000000,1300654000.0000000000,1331791000.0000000000,1341171000.0000000000,1458624000.0000000000,1481452000.0000000000,1536276000.0000000000,1594121000.0000000000,1583396000.0000000000,1552220000.0000000000,1591528000.0000000000,1553622000.0000000000,1635832000.0000000000,1853328000.0000000000,1910027000.0000000000,1869072000.0000000000,1943983000.0000000000,1912529000.0000000000,1907129000.0000000000,1871420000.0000000000,1902323000.0000000000,2015792000.0000000000,1961977000.0000000000,1985389000.0000000000,2064699000.0000000000,2109068000.0000000000,2171429000.0000000000,2135801000.0000000000,2263959000.0000000000,2438163000.0000000000,2465578000.0000000000,2536903000.0000000000,2643893000.0000000000,2794028000.0000000000,2898296000.0000000000,2788439000.0000000000,2871599000.0000000000,3040086000.0000000000,3154484000.0000000000,3085913000.0000000000,3163355000.0000000000,3341508000.0000000000,3436092000.0000000000,3342530000.0000000000,3378629000.0000000000,3618320000.0000000000,3663703000.0000000000,3553740000.0000000000
Prazo Med Estoques(dias),178.4635203000,,,,65.9483844710,60.4913849920,60.3456314930,60.6837931780,55.9531933440,48.4862239510,57.2647084300,62.4654856020,66.4553824540,54.1263463390,58.5521986050,62.6142263800,61.8814023660,56.3820033040,70.3719258520,72.6636104340,68.9404248710,56.4086275140,60.6929740880,59.7672017300,57.9543440420,57.7886682810,65.3042336670,63.1771586690,51.9477517930,52.8539854340,70.9701275540,69.2795656200,51.8081022900,52.3245385380,60.5332578020,63.6817607990,57.6547672150,51.5539151310,70.9791524230,66.8769250290,55.3822474370,55.3002911560,68.9734566060,72.5054111690,58.3248138070,62.3486593930,82.4576034260,81.6748317310,72.4678924420,70.6516162970,80.1403848260,84.2788701940,81.7761332100,82.5326755890,94.9427802090,92.1092840410,81.3036331910,81.5702375380,96.7237794310,93.9388471580,77.6086253370,77.2431820130,89.9317189880
Prazo Med Forneced(dias),31.1506308770,,,,12.4994263490,8.4704499531,10.6896446140,13.6601129690,9.2857304260,7.9473366086,9.2389851323,14.7515477880,17.2665970740,9.4318677056,10.3488165260,17.3851034700,13.6043774610,7.8232738331,9.5341163153,11.5283136870,7.0074757489,9.8727527337,10.0449013240,14.7095303910,15.6855892410,8.9438049317,7.0793649499,11.8181246460,10.9137753020,6.9693574571,8.5008529446,11.0740299290,10.7697995400,13.2863529200,11.1361892690,17.0864101540,19.3133070870,14.2897837770,12.7931207280,13.9439389340,10.8467022640,12.9563599650,11.2350134200,12.3517381720,9.4004557919,11.7391140000,9.3024936755,11.2456349940,12.1783934180,9.7931346546,10.1445105690,10.5799040310,13.8207094500,9.5050657506,11.0784247720,12.5695644970,11.1378332340,9.4724600873,10.4469473040,14.4785522750,12.0576329330,9.6052190862,9.0176557360
Prazo Med Recebim (dias),196.0545711100,,,,111.2423568000,82.6407780910,70.3493674250,96.6507287710,109.6926995900,88.7978455390,78.8747147160,121.2569878200,137.9503244200,91.9991948140,71.2140783590,116.4082873700,128.0926668300,93.0030423890,76.5186054350,122.5645022600,119.7653180700,104.3918018600,86.4274815880,111.0318123600,129.9836421500,103.7179024600,83.5454597360,105.5806854400,113.3226733700,99.1412254300,78.4288919650,124.6099992800,157.3386907100,130.2668184400,103.7757174300,134.3740046200,141.2466882900,121.2311224200,95.2887374350,121.3867142200,139.6168731500,111.1294928900,90.6730060330,117.5423757200,141.3943029000,120.5497769100,85.7798029070,117.0758448100,138.3557683300,110.7580318100,82.1250026460,106.6991812900,135.2066685300,118.2083579700,94.5538733310,117.4184758500,139.1500209000,124.4486718200,99.0429735060,122.3680280400,149.1648170400,119.3110842500,100.1709750200
Ciclo Financeiro (dias),343.3674605400,,,,164.6913149300,134.6617131300,120.0053543000,143.6744089800,156.3601625100,129.3367328800,126.9004380100,168.9709256400,187.1391098000,136.6936734500,119.4174604300,161.6374102800,176.3696917300,141.5617718600,137.3564149700,183.6997990100,181.6982672000,150.9276766500,137.0755543500,156.0894837000,172.2523969500,152.5627658100,141.7703284500,156.9397194700,154.3566498600,145.0258534100,140.8981665700,182.8155349800,198.3769934600,169.3050040600,153.1727859700,180.9693552600,179.5881484200,158.4952537800,153.4747691300,174.3197003100,184.1524183200,153.4734240800,148.4114492200,177.6960487200,190.3186609100,171.1593223100,158.9349126600,187.5050415600,198.6452673600,171.6165134600,152.1208769000,180.3981474600,203.1620922900,191.2359678100,178.4182287700,196.9581953900,209.3158208600,196.5464492800,185.3198056300,201.8283229300,214.7158094400,186.9490471800,181.0850382800
Ciclo Operacional (dias),374.5180914200,,,,177.1907412800,143.1321630800,130.6949989200,157.3345219500,165.6458929400,137.2840694900,136.1394231500,183.7224734300,204.4057068700,146.1255411500,129.7662769600,179.0225137500,189.9740691900,149.3850456900,146.8905312900,195.2281126900,188.7057429500,160.8004293800,147.1204556800,170.7990140900,187.9379861900,161.5065707400,148.8496934000,168.7578441100,165.2704251700,151.9952108600,149.3990195200,193.8895649100,209.1467930000,182.5913569800,164.3089752400,198.0557654200,198.9014555000,172.7850375600,166.2678898600,188.2636392500,194.9991205800,166.4297840500,159.6464626400,190.0477869000,199.7191167000,182.8984363100,168.2374063300,198.7506765500,210.8236607800,181.4096481200,162.2653874700,190.9780514900,216.9828017400,200.7410335600,189.4966535400,209.5277598900,220.4536541000,206.0189093700,195.7667529400,216.3068752000,226.7734423700,196.5542662700,190.1026940100
EBITDA $,339839000.0000000000,,,,196552000.0000000000,,,,153241000.0000000000,151180000.0000000000,179957000.0000000000,190057000.0000000000,206737000.0000000000,212399000.0000000000,202009000.0000000000,201101000.0000000000,204251000.0000000000,193930000.0000000000,198274000.0000000000,183712000.0000000000,256416000.0000000000,301639000.0000000000,330907000.0000000000,334431000.0000000000,261012000.0000000000,257267000.0000000000,241888000.0000000000,286363000.0000000000,322341000.0000000000,314263000.0000000000,292863000.0000000000,242824000.0000000000,215295000.0000000000,234397000.0000000000,263681000.0000000000,315062000.0000000000,382064000.0000000000,416921000.0000000000,438716000.0000000000,444054000.0000000000,422393000.0000000000,407847000.0000000000,395774000.0000000000,391081000.0000000000,432127000.0000000000,471458000.0000000000,469664000.0000000000,489206000.0000000000,442985000.0000000000,415822000.0000000000,432291000.0000000000,414807000.0000000000,445503000.0000000000,474347000.0000000000,481292000.0000000000,491235000.0000000000,525357000.0000000000,537616000.0000000000,542331000.0000000000,528097000.0000000000,519710000.0000000000,433345000.0000000000,381554000.0000000000
LAIR + Desp Fin Liq $,240156000.0000000000,,,,169658000.0000000000,158652000.2400000000,130910000.0000000000,126846000.0000000000,126399000.0000000000,123877000.0000000000,152265000.0000000000,162442000.0000000000,179629000.0000000000,187341000.0000000000,178897000.0000000000,179790000.0000000000,184504000.0000000000,174165000.0000000000,178611000.0000000000,164070000.0000000000,236881000.0000000000,282091000.0000000000,311219000.0000000000,314542000.0000000000,240721000.0000000000,235120000.0000000000,217784000.0000000000,260374000.0000000000,294561000.0000000000,286253000.0000000000,264670000.0000000000,214592000.0000000000,186835000.0000000000,205544000.0000000000,234426000.0000000000,285110000.0000000000,351313000.0000000000,385524000.0000000000,406238000.0000000000,410113000.0000000000,386869000.0000000000,370168000.0000000000,355248000.0000000000,347943000.0000000000,386398000.0000000000,423248000.0000000000,420272000.0000000000,438990000.0000000000,392151000.0000000000,364625000.0000000000,380268000.0000000000,361662000.0000000000,391252000.0000000000,418791000.0000000000,424612000.0000000000,433621000.0000000000,466765000.0000000000,478026000.0000000000,481475000.0000000000,466097000.0000000000,456749000.0000000000,369767000.0000000000,317874000.0000000000
Giro do Ativo x,0.6283384552,,,,1.1308861448,1.0897726242,1.1486338552,1.0098667969,0.9130946629,0.8682275918,0.8585067606,0.7482916384,0.7685181852,0.7764678668,0.7877755193,0.7869818418,0.8140920275,0.8090054977,0.8385179250,0.7654746083,0.7872019690,0.7893543708,0.8311285894,0.8391590558,0.8616219272,0.8884875801,0.9408626935,0.9153829278,0.8360964544,0.7864393067,0.7621309573,0.6910410517,0.7166534643,0.7211816223,0.8029297451,0.8137683509,0.8183734647,0.8489138175,0.9190329617,0.9069618769,0.9311205836,0.8688920568,0.9268109020,0.8569830513,0.8291783542,0.8054880487,0.8105045118,0.7789100501,0.7228293600,0.6619069413,0.7196771986,0.6714353605,0.6227542447,0.5913938440,0.6401443999,0.6346645410,0.6213068700,0.5969219345,0.6387456742,0.6281746796,0.5987598252,0.5493274394,0.5759305299
Giro do Pat Liq x,0.8285093962,,,,1.6080501400,1.5039125246,1.4917595204,1.3316154911,1.2390732928,1.1590977746,1.0968578437,1.0508290414,1.1112182667,1.0883213491,1.0600268029,1.0418201279,1.0605463197,1.0271532381,1.0459120750,1.0537059057,1.0132136007,1.0091609001,1.0565840198,1.0610917524,1.0619119477,1.0669986951,1.0659966949,1.0475600494,0.9939599273,0.9175031473,0.9004314738,0.8320460535,0.8124703218,0.8539818594,0.8934309691,0.9079786832,0.9212270249,0.9868477118,1.0275735570,1.0261806846,1.0325481115,1.0445748872,1.0268659484,0.9749744454,0.9341726218,0.9292666021,0.9139226282,0.8894632987,0.8275280347,0.7933589603,0.7974960878,0.7413421904,0.6892123129,0.6919626125,0.7026089232,0.7007299604,0.6898240277,0.6983688926,0.7074178148,0.6908648983,0.6654655268,0.6373376978,0.6233039021
Margem Bruta %,48.6024428070,,,,41.7439218060,42.3489173150,41.5312732560,41.9233246150,41.3504254570,41.3916157490,42.6041525510,43.0135417240,44.3101761930,43.9572178160,43.8598868770,43.2211539290,42.3011587570,41.0962851930,41.4804687860,40.2530237940,44.0229105440,46.0416225770,46.0508206030,46.0630033430,41.6639933830,39.9132418530,38.4500721780,40.7825604860,42.9907966350,44.4918648830,45.2735210030,43.6618278260,42.4966368260,43.4102111570,44.2555876380,45.0565043030,45.5291261080,45.9888002230,45.8799036160,44.9369882630,44.4893733310,43.7788658220,43.2447376740,43.7149747050,44.9008511020,45.9849262330,46.2952587070,47.0906797260,47.8134765180,47.6993971440,48.4712727200,48.4390156100,48.3085113940,48.7384158770,48.6583270130,48.3875862730,48.4683616390,48.2282344810,47.9634579120,47.3170027750,46.9049806020,45.5785870950,44.6494899790
Margem EBIT (Operac) %,41.8441273330,,,,14.2634832530,13.5726097640,11.1596734360,11.1141193630,11.9651493330,11.9573548000,14.8445352630,15.8757554670,16.4969027380,16.7604707650,15.9500467180,15.5478993600,15.5544034020,14.6334639290,14.7901966740,13.4749460610,18.5528261450,21.0207576360,21.7323053480,21.3372642020,15.9549324070,14.8829530930,13.6629838310,15.6397970460,17.6735928400,18.0003219590,17.5489197600,14.8247730770,12.7715147400,13.4155892980,14.5725235200,16.7306489340,19.5332216500,20.2998717840,20.4783893050,19.8952440180,18.1815831980,17.3619635070,16.7032785160,16.4617053620,17.8643238270,19.2028107690,19.2383610000,19.8064964980,18.1113864750,17.3274666660,17.8855800370,17.5932168760,19.4278002080,20.4169675080,20.3824848070,20.2460315310,21.0293910930,21.1774556540,21.2807852600,20.5697336550,19.8081328230,16.9351355730,14.8647542760
Margem Liquida %,35.3929921770,,,,5.8898304016,5.5868144189,4.2249222761,5.6747319954,7.9889775869,8.6014343768,11.5439623050,12.3983588870,12.3468933240,12.1712718790,11.1634367800,10.8522244760,10.5962392030,10.4433519880,10.7402012700,10.2412710980,19.0641858660,21.5163745080,23.0073942590,24.3277454580,18.3038874410,16.3158614350,14.9165825470,16.6013441720,18.7733286610,20.7334496240,21.7876598610,21.1848101900,20.8794288620,21.1447738050,21.5458588850,22.4470371180,23.8528340470,23.6578565620,22.9861776240,22.2501433520,20.3749682180,20.0615554040,20.4039277490,20.7160974070,22.6654319380,24.0729751090,24.9460301240,24.9236823420,25.4580832050,26.5134832280,26.5346888570,28.2943439920,31.5059956490,32.3081078260,31.7606877810,30.6959516430,29.7771564400,28.5834913430,27.3611295890,25.8024939800,25.3930627370,23.1739404630,22.5262235430
