Não Consolidado,31/12/1986,31/12/1987,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015,31/12/2015,31/03/2016,30/06/2016,30/09/2016,31/12/2016,31/03/2017,30/06/2017,30/09/2017,31/12/2017,31/03/2018,30/06/2018,30/09/2018,31/12/2018,31/03/2019,30/06/2019
ROIC (IC fim) %,15.3222817770,3.0194369187,4.1763099939,,,,1.5464070097,2.3351882089,5.1907758658,7.2756565065,11.3203291510,10.3641875590,10.9506757710,8.2013920665,0.8989646914,0.3988261114,-2.2361224520,-1.7858608109,1.7724448117,1.9440055819,4.2745644756,5.3852728364,7.3855685664,7.5990199704,5.7626187089,3.5668659473,-0.1545291621,-0.0974711806,-0.7901577412,0.2894213170,1.8986764746,2.2040382368,2.5459430403,2.7015744032,2.1860929895,1.9250633699,2.6155549374,4.1085564183,4.4683014392,4.7119649802,5.0627530656,3.6225692576,3.0981903796,-2.0547752206,-1.4284940593,-0.7708048804,5.3005422572,14.7973774820,18.5567738620,23.2587457650,25.0068476880,23.9564151070,25.6748710270,23.2534265940,26.3322800300,19.2483710640,16.7594078270,15.8739132760,14.9926757710,21.6279711480,22.6663550890,26.2427830960,28.6007097400,23.3030454950,21.1219628310,20.6829151050,21.8748148540,20.9523625880,21.6112986550,22.8935170190,24.1950841380,24.3573022790,24.4005247530,23.6034780130,22.1114147470,17.7770875600,16.1454493870,14.5857278760,13.9597745690,15.2538621880,15.6327577820,17.4245104230,18.5481536890,17.7600999270,15.7448730600,13.1291303450,11.0266369620,10.5394251470,10.2666026590,7.7820828697,7.8361610693,8.0338357516,7.8582468338,7.1721684527,5.9483360369,5.6042446845,3.6706895405,3.3005718953,3.0752609051,2.7101482877,3.7030322622,3.3951409972,3.5190297992,2.8377506437,2.4639163212,1.4199694199,-3.0679158141,-2.2470341352,-2.1567843985,-0.9732050034,-1.7757895229,-2.5529415591,-2.6252833438,-4.6861535577,1.0607846536,1.7411755995,2.3539550542,4.1514869187,2.6869689219,2.9998590787,3.1225759565,3.9958572474,4.9017827864,3.7664990621,5.2385590928
ROIC (IC medio) %,,4.9938512436,7.5417691451,,,,2.9356177087,4.5666641206,10.0998940540,13.8555611040,20.7350272480,16.9999401190,18.1804514670,13.9227228090,1.6531989254,0.7419689054,-4.2422017536,-3.4112379544,3.2838602179,3.6118194643,8.0508784928,10.2683835100,14.2268438540,14.7862039050,11.2828482670,6.8332641464,-0.2807906734,-0.1547927219,-0.9421072951,0.3347342877,2.1603460125,2.4395233545,2.7118286392,2.8844804060,2.2965899569,2.0281415411,2.7460362276,4.3003150956,4.6817776133,4.8877983522,5.2417951347,3.7338148768,3.1420063244,-2.1291348590,-1.4982990547,-0.8408502082,5.7592338056,15.9730251090,19.9289554470,23.4761944750,24.7237073540,23.4676080400,24.4358751900,22.4458043880,24.3593309290,19.2966999220,18.0575759960,18.1091138480,18.4059552900,25.6608401460,26.4288103520,28.4336295960,30.1369488710,25.0743730310,23.0796420830,23.3103686380,25.3613449210,23.8988160710,23.5034201420,24.5949640820,25.7703668710,25.7921938720,27.0035448430,26.0718756700,24.2627227500,19.7227582650,17.6367501880,16.3008184910,15.8165044530,16.6012309130,16.9946422160,19.4801223760,21.1449338280,20.3460786010,18.0897083590,14.2328134680,11.8302945080,11.6721559540,11.3841287070,9.8305729941,9.6688811942,9.5914638064,9.3048059806,7.4973782145,6.2964664512,5.9493925171,3.9157642635,3.4962521429,3.3070020159,2.9509604752,3.9769433360,3.5996681391,3.6642401142,3.0578494285,2.6623700381,1.5430347626,-3.2561986530,-2.3011977008,-2.1858545091,-1.0096207429,-1.8506838019,-2.5977682472,-2.6383520558,-4.5049304752,1.0629333741,1.7499813948,2.3910309911,4.3170004247,2.7697950670,3.0905005171,3.2895942527,4.2751706588,5.2053177281,4.4724179285,6.1722051278
ROIC (IC inicial) %,,14.4289883310,38.8440933800,,,,28.8789207740,102.8231029000,186.1347679200,144.8911630600,123.1756445300,47.2559043840,53.5053952970,46.0414858800,10.2685190770,5.3142770064,-41.2361010180,-37.9602253590,22.2981046690,25.4221876070,69.0696789640,110.1198994400,193.0454313500,272.8286240300,268.2411837900,81.1179813320,-1.5349824363,-0.3757899106,-1.1664115051,0.3968698321,2.5056693767,2.7313475572,2.9008380767,3.0939517207,2.4188518147,2.1428829349,2.8902196205,4.5108500248,4.9166751497,5.0772633282,5.4339649513,3.8521094547,3.1870793758,-2.2090785333,-1.5752767542,-0.9248984789,6.3048334185,17.3516054570,21.5202731370,23.6977474630,24.4469069560,22.9983493620,23.3109551710,21.6923987390,22.6614213360,19.3452720790,19.5737396970,21.0769527130,23.8315119280,31.5424091070,31.6889533640,31.0235964220,31.8475886550,27.1371405010,25.4372849480,26.7025228720,30.1700093860,27.8095738920,25.7586524910,26.5696192000,27.5650605210,27.4067274680,30.2282611960,29.1168490380,26.8777683670,22.1466722670,19.4315797910,18.4730015950,18.2429167540,18.2096866580,18.6164587740,22.0856163530,24.5871918900,23.8134639270,21.2551760580,15.5390863850,12.7603076740,13.0776880300,12.7746581460,13.3428265820,12.6205806130,11.8983591080,11.4040897970,7.8534809300,6.6878791283,6.3398435757,4.1959051705,3.7165971864,3.5765159903,3.2387411654,4.2946133044,3.8304167880,3.8219502298,3.3149611377,2.8955927047,1.6894558475,-3.4691029821,-2.3580369298,-2.2157189662,-1.0488676551,-1.9321736111,-2.6441972797,-2.6515515314,-4.3372020565,1.0650908171,1.7588767114,2.4292935459,4.4962594919,2.8578898712,3.1867901203,3.4754889266,4.5964671518,5.5489259603,5.5039753433,7.5108279450
Invested Capital $,58.3760960000,278.9619490900,2594.6407273000,4402.6010909000,6566.5614546000,16271.4581820000,48454.5294550000,193855.5116400000,235468.7283600000,324038.1810900000,527230.0669100000,883891.5225500000,1150508.6676000000,1819105.7345000000,6022341.0909000000,11777675.1820000000,21216410.3980000000,38666878.8590000000,75763595.6360000000,154019242.9800000000,342821043.7200000000,790673553.8200000000,1980323636.4000000000,5529773352.4000000000,15957801000.0000000000,17981568000.0000000000,19671122000.0000000000,21319461000.0000000000,23556515000.0000000000,24657278000.0000000000,25959835000.0000000000,26420076000.0000000000,26840206000.0000000000,28238507000.0000000000,28723844000.0000000000,29409489000.0000000000,29658750000.0000000000,31003510000.0000000000,31606151000.0000000000,31689480000.0000000000,31833393000.0000000000,32968014000.0000000000,32512951000.0000000000,34069201000.0000000000,35104384000.0000000000,39558735000.0000000000,38673164000.0000000000,39950007000.0000000000,40710521000.0000000000,40305394000.0000000000,37807214000.0000000000,38352325000.0000000000,36962255000.0000000000,37599649000.0000000000,32536689000.0000000000,38545400000.0000000000,43169160000.0000000000,49923797000.0000000000,51718486000.0000000000,56214925000.0000000000,60353131000.0000000000,59018730000.0000000000,57589797000.0000000000,65464075000.0000000000,72683576000.0000000000,76195690000.0000000000,79428545000.0000000000,86888914000.0000000000,86632044000.0000000000,88430732000.0000000000,90491632000.0000000000,97767017000.0000000000,107322940000.0000000000,109086647000.0000000000,109998078000.0000000000,121798021000.0000000000,129166691000.0000000000,138159564000.0000000000,143747721000.0000000000,145399491000.0000000000,153819717000.0000000000,175117639000.0000000000,190550114000.0000000000,194957548000.0000000000,207652685000.0000000000,207261871000.0000000000,220509489000.0000000000,241910157000.0000000000,258380708000.0000000000,355362343000.0000000000,355143004000.0000000000,358276421000.0000000000,374968725000.0000000000,389119609000.0000000000,399297126000.0000000000,405302872000.0000000000,428620616000.0000000000,438166745000.0000000000,464380942000.0000000000,484353975000.0000000000,497095264000.0000000000,494342137000.0000000000,504355163000.0000000000,565805388000.0000000000,584186000000.0000000000,588160000000.0000000000,570309000000.0000000000,593756000000.0000000000,600149000000.0000000000,633887000000.0000000000,620533000000.0000000000,614980000000.0000000000,606154000000.0000000000,586685000000.0000000000,623052000000.0000000000,621232000000.0000000000,625554000000.0000000000,635408000000.0000000000,662685000000.0000000000,659943000000.0000000000,696254000000.0000000000,730915000000.0000000000,750174000000.0000000000,964373000000.0000000000,998260000000.0000000000
Rentab Invest Subsid %,6.7856294332,6.4010521323,7.8667969296,,,,2.4549913976,-1.2355678084,-4.7970679697,-3.8027626323,-6.8279400343,-6.0447506062,-2.4585973133,-2.2550276173,-6.0595545837,-5.4843839303,-5.6019485819,-12.3262153310,-5.8492665062,-6.1378775012,-6.0838399541,-0.1270793515,-0.4494835817,-0.7805668213,1.2536149432,-0.2870618129,0.2518584848,1.4610867058,2.7299370754,5.9368629244,8.5933135743,9.0696882660,7.8568725249,7.4119696911,6.8253648672,6.9261924404,7.4509903157,15.9266321820,18.3548549390,19.3844507150,20.1271725580,13.2347739780,16.9652350260,17.7361571650,17.3377232990,16.9889804380,10.9081075680,8.6497509605,7.8887632777,7.3084448545,13.0266853160,17.2168992230,33.3206295580,36.5413880020,30.0175620720,20.1493271410,14.4606442810,15.7705232790,21.7630354960,24.5152603570,16.2387337610,9.8341090749,6.2926275235,5.7543064314,11.5263502290,9.6402307774,9.7862009158,12.2560210610,6.7416198435,6.1050476290,8.8525987805,5.8938570151,8.2177316983,5.6495722128,1.8890536781,0.5775820920,-0.3124149563,0.6540931745,-2.8141192364,0.3399291552,2.7680933315,5.9672456279,8.7289140443,10.8397997380,14.1395765720,19.3927399540,22.5097639250,19.5660028340,15.8168246330,14.0313930740,15.3966541120,19.9244940170,21.9186166650,14.4001029160,11.1822192150,11.9847314710,5.3225803910,10.3004277210,12.0764084170,11.8982759650,15.6495973980,14.2416703250,18.3007210810,,,,,,,,,,,,,,,,,,,,,,
Alavancagem Financ x,1.3403677104,0.4883514077,1.3779652697,,,,0.9894619242,0.2255762113,0.6846209923,0.8558121220,0.7504319003,0.9246423691,1.2100434875,1.2864962194,-1.7161011796,-4.9652877373,3.0363175421,3.4331598508,2.5707751040,2.0767139260,0.8930042010,0.9623599199,0.5956818498,0.5559291225,0.6856594165,2.0094388055,-11.4921140160,-13.1201909970,-4.6083682675,9.7493979629,1.2461144793,1.0289355403,1.3048034583,1.1946059819,1.2210278117,1.3414317730,0.8897796277,1.1598906623,1.2647568241,1.2964169942,1.3229532340,1.0512175957,1.7647305518,2.0849623726,2.1825121122,1.8121884690,1.9907422430,2.4483495048,2.3699709116,2.3899897124,2.5636882206,2.4584318193,2.3711451024,2.5656812392,2.7079695823,2.5251870015,2.8069951575,3.1415370661,3.2740933421,2.7677092504,2.2545793520,2.2358824046,2.3678764604,2.1283087354,2.3027439201,2.2245373316,2.0257044391,1.9258173296,1.7511346558,1.7250077715,1.9187335166,1.7950500467,1.7559279883,1.8582673816,1.8654405608,1.8508018175,1.8617912627,1.8777702708,1.9709754027,2.0279360524,2.0184930959,1.9724557054,2.0980976295,2.0453329584,1.9884316310,1.8842775227,1.8824893751,1.9183172589,1.9233876989,1.5556066695,1.5927555901,1.6546881200,1.6895623270,1.7365312337,1.7985978097,1.7929437827,1.5157602078,1.5504332781,1.7896076649,1.9920052241,2.1212986453,2.1243245770,1.6709233097,1.6298129938,1.7372799963,1.6295353749,2.4894475240,3.8636359731,4.9125787392,39.9701439690,11.0468323010,7.7202345304,8.8384356415,4.8145510445,-3.7139627543,-1.5669247715,-1.7638925760,0.6748047235,-0.0571096355,0.2440194222,1.1137360895,1.4159766964,1.7701491918,1.8373151794,1.8587083418
Alavancagem Operac x,1.5685638540,2.5622101397,3.4494965745,,,,6.4139784765,2.7804885321,1.6620782140,1.4606626781,1.9171747328,1.8725090274,1.8454534196,2.1096447631,3.0582269694,4.0921396777,13.6132039350,3.3120882266,3.2333468808,3.7538088125,2.4588061879,2.4882985485,1.9171407847,2.1647583402,4.0172678770,5.9822679969,7.0712999086,4.6410651718,6.8707867850,-29.7023651650,4.1268066531,3.4899782087,3.1124351390,2.9420536981,3.1099899760,4.1146315449,3.7395205103,3.3945088542,3.5230735643,3.5127490566,3.4054229094,3.2015853450,1.3888828105,1.1755981106,1.0731730609,1.0343036599,1.1717469655,1.1284565968,1.1054541288,1.0980031240,1.1027969198,1.1129150329,1.1302780704,1.1478897389,1.1751195699,1.2040580386,1.1960016221,1.1892729214,1.1923155776,1.1528982084,1.1531388287,1.1426472600,1.1338147508,1.1429263013,1.1458620667,1.1655580333,1.1732279016,1.1821482913,1.1840290132,1.1850388316,1.1881118364,1.1827838667,1.1850388732,1.1887226530,1.1988183182,1.2165270837,1.2135661164,1.2142780846,1.2107125471,1.2087334629,1.2053800157,1.2042743993,1.2139246274,1.2237299398,1.2398399053,1.2518413073,1.2416105301,1.2334322734,1.2520393281,1.2612076010,1.2843769331,1.3024039966,1.3065884284,1.3194169170,1.3660638016,1.4005921957,1.4836799522,1.5783489022,1.6058642557,1.6551354049,1.6183936932,1.6479447642,1.6766082722,1.6892819647,1.6819383208,1.7870311067,1.7062894305,1.5824906166,1.5629824020,1.4460850457,1.4232211135,1.4922338096,1.5226795152,1.5446407488,1.5732014429,1.5397022067,1.5274013088,1.5714026245,1.5320895522,1.5139137042,1.4546022677,1.3933239997,1.3239170629,1.3254357870,1.3130309078
Capex (incl invest) $,,,,,,,,,,,,,,,,,,,4590676.3636000000,,,,,,,,1146346000.0000000000,,,,1692808000.0000000000,,,,1899152000.0000000000,,,,2151730000.0000000000,,,,2411190000.0000000000,,,,2400253000.0000000000,,,,3260095000.0000000000,,,,5195351000.0000000000,,,,9191445000.0000000000,,,,11345756000.0000000000,,,,13194676000.0000000000,,,,15964891000.0000000000,,,,17606702000.0000000000,18418974000.0000000000,20277231000.0000000000,21835188000.0000000000,26898165000.0000000000,29342183000.0000000000,30215259000.0000000000,33000066000.0000000000,35005228000.0000000000,38002040000.0000000000,41401890000.0000000000,46254152000.0000000000,46638740000.0000000000,45057511000.0000000000,47803441000.0000000000,53173324000.0000000000,55266549000.0000000000,56588535000.0000000000,54184070000.0000000000,47910464000.0000000000,48409531000.0000000000,52956064000.0000000000,59665784000.0000000000,68195044000.0000000000,72206866000.0000000000,73608681000.0000000000,77892917000.0000000000,77850341000.0000000000,82396138000.0000000000,82646291000.0000000000,76307034000.0000000000,71349940000.0000000000,62205000000.0000000000,60458481000.0000000000,68827000000.0000000000,72194000000.0000000000,78036000000.0000000000,72877000000.0000000000,58113000000.0000000000,47218000000.0000000000,55990000000.0000000000,53532000000.0000000000,45606000000.0000000000,54039000000.0000000000,48457000000.0000000000,46502000000.0000000000,57058000000.0000000000,68971000000.0000000000,72358000000.0000000000,71003000000.0000000000,34345000000.0000000000
Depreciacao e amortiz $,2.2026018182,13.1250898180,47.4745454540,,,,2056.7578182000,,,,22013.3861820000,,,,343180.0000000000,,,,4339094.1818000000,,,,111853818.1800000000,,,,1151679000.0000000000,,,,1278698000.0000000000,,,,1394698000.0000000000,,,,1446336000.0000000000,,,,1449291000.0000000000,,,,3009937000.0000000000,,,,2442112000.0000000000,,,,2001367000.0000000000,,,,3429372000.0000000000,,,,2843380000.0000000000,,,,3802480000.0000000000,,,,3773745000.0000000000,,,,4922117000.0000000000,5239383000.0000000000,5448495000.0000000000,5471000000.0000000000,5819145000.0000000000,6099561000.0000000000,6226838000.0000000000,6611223000.0000000000,8194282000.0000000000,8799230000.0000000000,9672923000.0000000000,10557844000.0000000000,10315400000.0000000000,10458582000.0000000000,10651794000.0000000000,10898726000.0000000000,10812993000.0000000000,11151539000.0000000000,11402413000.0000000000,11661158000.0000000000,12902393000.0000000000,13675995000.0000000000,14532921000.0000000000,15593030000.0000000000,15738268000.0000000000,16979398000.0000000000,18337427000.0000000000,19770876000.0000000000,21473699000.0000000000,22043570000.0000000000,22681772000.0000000000,21934750000.0000000000,22518000000.0000000000,23701216000.0000000000,24524000000.0000000000,26198000000.0000000000,28039000000.0000000000,31183000000.0000000000,33698000000.0000000000,37096000000.0000000000,37150000000.0000000000,35875000000.0000000000,34673000000.0000000000,32975000000.0000000000,32159000000.0000000000,32518000000.0000000000,33091000000.0000000000,32654000000.0000000000,33325000000.0000000000,39497000000.0000000000,46766000000.0000000000
Capex (inc inv)/Deprec %,,,,,,,,,,,,,,,,,,,105.7980345900,,,,,,,,99.5369369410,,,,132.3852856600,,,,136.1694072800,,,,148.7711016000,,,,166.3703148600,,,,79.7442936510,,,,133.4949011300,,,,259.5901201500,,,,268.0212295400,,,,399.0235564700,,,,347.0018514200,,,,423.0516635300,,,,357.7058814300,351.5485315700,372.1620557600,399.1078047900,462.2356892600,481.0540135600,485.2424135700,499.1522143500,427.1909119100,431.8791530600,428.0183973300,438.1022489100,452.1273048100,430.8185469100,448.7830031300,487.8856849900,511.1124089300,507.4504514600,475.1982760100,410.8551140500,375.1980814700,387.2190944800,410.5560334400,437.3431206100,458.7980456300,433.5176135200,424.7756078300,393.7627295800,383.7072411200,374.9224422400,336.4244821800,325.2826679100,276.2456701300,255.0859879900,280.6516065900,275.5706542500,278.3123506500,233.7074688100,172.4523710600,127.2859607500,150.7133243600,149.2181184700,131.5317393900,163.8786959800,150.6794365500,143.0038747800,172.4275482800,211.2176149900,217.1282820700,179.7680836500,73.4401060600
Deprec / Imob e Intang %,,50.2256494710,36.4657036170,,,,161.5951513000,,,,98.3196300100,,,,150.9689656300,,,,148.8459814200,,,,319.6807794100,,,,124.9910117900,,,,13.9292312890,,,,11.9508109500,,,,11.5349306370,,,,10.9553067120,,,,21.2076195430,,,,15.5617502330,,,,11.7426051720,,,,18.0406630000,,,,12.4163932300,,,,10.8347574120,,,,8.7728595043,,,,9.5853826584,9.6201742948,9.5824786157,9.2100413996,9.3540987758,9.3961943722,9.0665073646,9.0188421417,10.1088462220,10.2887583400,10.6580520830,10.8994111640,8.3304217020,8.0320096402,7.7599061904,7.4847398875,7.0761492643,6.9261636212,6.5357790102,4.5533503948,4.8132683718,4.9066127315,5.0261512768,5.2323401703,5.1527529166,5.4073903717,5.7028712718,5.8891021465,6.0101275399,6.0082646868,5.9898560417,5.6306352992,5.1662581863,5.2914090915,5.2958795189,5.6253287955,6.2831366609,6.8548378233,7.3324745633,7.9774456948,8.2268165431,7.9340857169,7.7132700368,7.6007984584,7.4178555365,7.5062036172,7.6503553412,7.5780747782,7.5430058850,8.8224782549,
Fluxo de caixa livre $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8259624000.0000000000,,,,17681648000.0000000000,15757041000.0000000000,20320551000.0000000000,13202746000.0000000000,13307952000.0000000000,15260480000.0000000000,12700815000.0000000000,18943850000.0000000000,20770516000.0000000000,17613877000.0000000000,5829604000.0000000000,-9929316999.9000000000,-24088823000.0000000000,-31434666000.0000000000,-34422885000.0000000000,-45125792000.0000000000,-40840196000.0000000000,-41795812000.0000000000,-33858788000.0000000000,-12725417999.0000000000,-12996984000.0000000000,-9629325000.1000000000,-17894395000.0000000000,-26356126000.0000000000,-33083152000.0000000000,-37930967000.0000000000,-35070290000.0000000000,-45064761000.0000000000,-50528078000.0000000000,-54258973000.0000000000,-57534585000.0000000000,-33233832000.0000000000,-21237000000.0000000000,-11565537000.0000000000,-11142000000.0000000000,-26369000000.0000000000,-27996000000.0000000000,-27600000000.0000000000,-19562000000.0000000000,-3644000000.1000000000,-18729000000.0000000000,-17332000000.0000000000,-10247000000.0000000000,-18107000000.0000000000,-15155000000.0000000000,-6299000000.0000000000,-13715000000.0000000000,-37938000000.0000000000,-42857000000.0000000000,-54053000000.0000000000,-16869000000.0000000000
